instance,status,meanSolverTime
inst-100-1242700005,solverTimeOut,0
inst-100-1986116737,solverTimeOut,0
inst-100-484122292,solverTimeOut,0
inst-100-715166324,graded,24.853
inst-100-875407424,solverTimeOut,0
inst-104-1242700005,tooEasy,0.022
inst-104-1986116737,tooEasy,0.009
inst-104-484122292,tooEasy,0.005
inst-104-715166324,tooEasy,0.036
inst-104-875407424,tooEasy,1.557
inst-105-1242700005,solverTimeOut,0
inst-105-1986116737,tooEasy,0.041
inst-105-484122292,tooEasy,0.032
inst-105-715166324,solverTimeOut,0
inst-105-875407424,solverTimeOut,0
inst-109-1242700005,tooEasy,0.012
inst-109-1986116737,tooEasy,0.008
inst-109-484122292,tooEasy,0.005
inst-109-715166324,tooEasy,0.012
inst-109-875407424,tooEasy,0.051
inst-11-1014571339,tooEasy,0.044
inst-111-1242700005,tooEasy,0.007
inst-111-1986116737,tooEasy,0.042
inst-11-1242700005,tooEasy,0.094
inst-11-1401207286,tooEasy,0.005
inst-111-484122292,graded,14.434
inst-11-1710883418,tooEasy,0.037
inst-111-715166324,solverTimeOut,0
inst-111-875407424,tooEasy,0.041
inst-11-19034017,tooEasy,0.01
inst-11-1986116737,tooEasy,0.06
inst-11-2112075539,tooEasy,0.381
inst-11-215827268,tooEasy,0.034
inst-1-1242700005,tooEasy,0.011
inst-113-1014571339,tooEasy,0.04
inst-113-1242700005,tooEasy,3.813
inst-113-1401207286,tooEasy,0.026
inst-113-1710883418,tooEasy,0.136
inst-113-19034017,solverTimeOut,0
inst-113-1986116737,graded,317.663
inst-113-2112075539,tooEasy,0.058
inst-113-215827268,solverTimeOut,0
inst-113-484122292,tooEasy,0.266
inst-113-715166324,tooEasy,0.109
inst-113-875407424,tooEasy,0.01
inst-11-484122292,tooEasy,0.046
inst-1-1710883418,tooEasy,0.004
inst-117-1242700005,tooEasy,0.006
inst-11-715166324,solverTimeOut,0
inst-117-1986116737,solverTimeOut,0
inst-117-484122292,tooEasy,0.006
inst-117-715166324,tooEasy,0.009
inst-117-875407424,tooEasy,0.005
inst-11-875407424,tooEasy,0.037
inst-119-1242700005,tooEasy,0.004
inst-119-1986116737,tooEasy,0.011
inst-119-484122292,tooEasy,0.012
inst-119-715166324,tooEasy,0.005
inst-1-1986116737,tooEasy,0.038
inst-119-875407424,tooEasy,0.015
inst-120-1242700005,tooEasy,0.005
inst-120-1710883418,graded,13.501
inst-120-1986116737,graded,89.069
inst-120-215827268,tooEasy,0.005
inst-120-484122292,tooEasy,0.005
inst-120-715166324,tooEasy,0.012
inst-120-875407424,graded,13.165
inst-12-1242700005,tooEasy,0.065
inst-1-215827268,tooEasy,0.037
inst-12-1710883418,tooEasy,0.014
inst-12-1986116737,tooEasy,0.035
inst-12-215827268,tooEasy,0.004
inst-123-1242700005,tooEasy,0.004
inst-123-1986116737,tooEasy,0.005
inst-123-484122292,tooEasy,0.004
inst-123-715166324,tooEasy,0.035
inst-123-875407424,tooEasy,0.004
inst-12-484122292,tooEasy,0.025
inst-125-1242700005,tooEasy,0.004
inst-125-1986116737,tooEasy,0.004
inst-125-484122292,solverTimeOut,0
inst-125-715166324,solverTimeOut,0
inst-125-875407424,tooEasy,0.003
inst-12-715166324,tooEasy,0.068
inst-12-875407424,tooEasy,0.069
inst-132-1242700005,tooEasy,0.005
inst-132-1986116737,tooEasy,0.016
inst-132-484122292,tooEasy,0.003
inst-132-715166324,tooEasy,0.004
inst-132-875407424,tooEasy,0.003
inst-14-1242700005,tooEasy,0.042
inst-14-1710883418,solverTimeOut,0
inst-14-1986116737,tooEasy,0.006
inst-14-215827268,tooEasy,0.004
inst-144-1014571339,tooEasy,0.121
inst-144-1986116737,tooEasy,0.012
inst-144-215827268,tooEasy,0.008
inst-144-484122292,tooEasy,0.066
inst-144-715166324,tooEasy,0.004
inst-14-484122292,tooEasy,0.069
inst-144-875407424,tooEasy,0.011
inst-145-1014571339,tooEasy,0.074
inst-145-1986116737,tooEasy,0.01
inst-145-215827268,tooEasy,0.087
inst-145-484122292,tooEasy,0.065
inst-145-715166324,tooEasy,0.005
inst-145-875407424,tooEasy,0.046
inst-146-1014571339,tooEasy,0.063
inst-146-1986116737,tooEasy,0.045
inst-146-215827268,tooEasy,0.008
inst-146-484122292,tooEasy,0.049
inst-146-715166324,tooEasy,0.005
inst-146-875407424,tooEasy,0.027
inst-14-715166324,tooEasy,0.023
inst-148-1014571339,tooEasy,0.105
inst-148-1986116737,tooEasy,0.029
inst-148-215827268,tooEasy,0.02
inst-1-484122292,tooEasy,0.015
inst-148-484122292,tooEasy,0.113
inst-148-715166324,tooEasy,0.004
inst-14-875407424,tooEasy,0.075
inst-148-875407424,tooEasy,0.04
inst-150-1014571339,tooEasy,0.031
inst-150-1986116737,tooEasy,0.008
inst-150-215827268,tooEasy,0.02
inst-150-484122292,tooEasy,0.044
inst-150-875407424,tooEasy,0.008
inst-15-1242700005,tooEasy,0.029
inst-15-1710883418,tooEasy,0.027
inst-15-1986116737,tooEasy,0.061
inst-15-215827268,tooEasy,0.013
inst-15-484122292,tooEasy,0.022
inst-157-1014571339,tooEasy,1.624
inst-157-1242700005,tooEasy,0.076
inst-157-1401207286,tooEasy,0.004
inst-15-715166324,tooEasy,0.057
inst-157-1710883418,tooEasy,0.507
inst-157-19034017,tooEasy,0.019
inst-157-1927683781,tooEasy,0.052
inst-157-1986116737,tooEasy,0.047
inst-157-2112075539,graded,10.248
inst-157-215827268,tooEasy,0.244
inst-157-322757527,tooEasy,0.346
inst-157-484122292,tooEasy,0.216
inst-157-715166324,tooEasy,0.012
inst-157-875407424,graded,34.093
inst-15-875407424,tooEasy,0.043
inst-161-1014571339,tooEasy,0.022
inst-161-1986116737,tooEasy,0.073
inst-161-215827268,tooEasy,0.019
inst-161-484122292,tooEasy,0.066
inst-161-715166324,tooEasy,0.005
inst-161-875407424,tooEasy,0.076
inst-162-1014571339,solverTimeOut,0
inst-162-1986116737,solverTimeOut,0
inst-162-215827268,solverTimeOut,0
inst-162-484122292,solverTimeOut,0
inst-162-875407424,solverTimeOut,0
inst-163-1014571339,tooEasy,0.051
inst-163-1986116737,tooEasy,0.026
inst-163-215827268,tooEasy,0.065
inst-163-484122292,tooEasy,0.073
inst-163-715166324,tooEasy,0.004
inst-163-875407424,tooEasy,0.038
inst-164-1014571339,tooEasy,0.051
inst-164-1986116737,tooEasy,0.034
inst-164-215827268,tooEasy,0.032
inst-164-484122292,tooEasy,0.036
inst-164-715166324,tooEasy,0.004
inst-164-875407424,tooEasy,0.022
inst-165-1014571339,tooEasy,4.298
inst-165-1986116737,solverTimeOut,0
inst-165-215827268,solverTimeOut,0
inst-165-484122292,solverTimeOut,0
inst-165-875407424,solverTimeOut,0
inst-167-1014571339,tooEasy,0.034
inst-167-1986116737,tooEasy,0.005
inst-167-215827268,tooEasy,0.007
inst-167-484122292,tooEasy,0.006
inst-167-875407424,tooEasy,0.006
inst-171-1014571339,solverTimeOut,0
inst-171-1986116737,solverTimeOut,0
inst-171-215827268,solverTimeOut,0
inst-171-484122292,solverTimeOut,0
inst-1-715166324,tooEasy,0.066
inst-171-875407424,solverTimeOut,0
inst-176-1014571339,tooEasy,0.253
inst-176-1986116737,tooEasy,3.221
inst-176-215827268,solverTimeOut,0
inst-176-484122292,tooEasy,0.029
inst-176-875407424,solverTimeOut,0
inst-178-1014571339,solverTimeOut,0
inst-178-1986116737,tooEasy,8.333
inst-178-215827268,solverTimeOut,0
inst-178-484122292,tooEasy,0.053
inst-178-875407424,solverTimeOut,0
inst-179-1014571339,tooEasy,0.124
inst-179-1242700005,tooEasy,0.01
inst-179-1401207286,tooEasy,0.005
inst-179-1710883418,tooEasy,0.011
inst-179-19034017,solverTimeOut,0
inst-179-1927683781,tooEasy,0.03
inst-179-1986116737,tooEasy,0.061
inst-179-2112075539,solverTimeOut,0
inst-179-215827268,tooEasy,0.164
inst-179-484122292,tooEasy,4.406
inst-179-715166324,tooEasy,1.691
inst-179-875407424,graded,18.346
inst-181-1014571339,tooEasy,0.059
inst-181-1986116737,solverTimeOut,0
inst-181-215827268,solverTimeOut,0
inst-18-1242700005,tooEasy,0.03
inst-181-484122292,solverTimeOut,0
inst-18-1710883418,tooEasy,0.004
inst-181-875407424,solverTimeOut,0
inst-18-1986116737,tooEasy,0.005
inst-18-215827268,tooEasy,0.006
inst-183-1014571339,tooEasy,0.049
inst-183-1986116737,tooEasy,0.058
inst-183-215827268,tooEasy,0.046
inst-183-484122292,tooEasy,0.06
inst-183-715166324,tooEasy,0.008
inst-183-875407424,tooEasy,0.054
inst-184-1014571339,tooEasy,0.122
inst-184-1986116737,tooEasy,0.028
inst-184-215827268,solverTimeOut,0
inst-184-484122292,solverTimeOut,0
inst-18-484122292,tooEasy,0.025
inst-184-875407424,tooEasy,0.065
inst-18-715166324,tooEasy,0.142
inst-1-875407424,tooEasy,0.105
inst-18-875407424,tooEasy,0.07
inst-190-1014571339,tooEasy,0.047
inst-190-1986116737,tooEasy,0.064
inst-190-215827268,tooEasy,0.008
inst-190-484122292,tooEasy,0.087
inst-190-715166324,tooEasy,0.008
inst-190-875407424,tooEasy,0.005
inst-194-1014571339,tooEasy,0.056
inst-194-1986116737,tooEasy,0.068
inst-194-215827268,tooEasy,0.007
inst-194-484122292,tooEasy,0.073
inst-194-715166324,tooEasy,0.005
inst-194-875407424,tooEasy,0.011
inst-197-1014571339,tooEasy,0.03
inst-197-1986116737,tooEasy,0.039
inst-197-215827268,tooEasy,0.007
inst-197-484122292,tooEasy,0.031
inst-197-875407424,tooEasy,0.008
inst-202-1014571339,solverTimeOut,0
inst-202-1986116737,solverTimeOut,0
inst-202-215827268,solverTimeOut,0
inst-202-484122292,tooEasy,0.054
inst-202-875407424,solverTimeOut,0
inst-203-1014571339,solverTimeOut,0
inst-203-1986116737,tooEasy,1.633
inst-203-215827268,solverTimeOut,0
inst-203-484122292,solverTimeOut,0
inst-203-875407424,solverTimeOut,0
inst-204-1014571339,tooEasy,0.018
inst-204-1986116737,tooEasy,0.018
inst-204-215827268,tooEasy,0.047
inst-204-484122292,tooEasy,0.034
inst-204-875407424,tooEasy,0.046
inst-205-1014571339,solverTimeOut,0
inst-205-1986116737,solverTimeOut,0
inst-205-215827268,solverTimeOut,0
inst-205-484122292,tooEasy,0.007
inst-205-875407424,tooEasy,0.063
inst-207-1014571339,solverTimeOut,0
inst-207-1986116737,tooEasy,0.054
inst-207-215827268,tooEasy,0.079
inst-207-484122292,tooEasy,0.045
inst-207-875407424,tooEasy,0.03
inst-208-1014571339,tooEasy,0.064
inst-208-1242700005,tooEasy,0.003
inst-208-1401207286,tooEasy,0.005
inst-208-1710883418,tooEasy,0.004
inst-208-1986116737,tooEasy,0.1
inst-208-215827268,tooEasy,0.027
inst-208-484122292,tooEasy,0.071
inst-208-715166324,tooEasy,0.006
inst-208-875407424,tooEasy,0.038
inst-211-1014571339,tooEasy,0.033
inst-211-1986116737,tooEasy,0.044
inst-211-215827268,tooEasy,0.027
inst-211-484122292,tooEasy,0.041
inst-211-875407424,solverTimeOut,0
inst-212-1014571339,tooEasy,0.023
inst-212-1986116737,solverTimeOut,0
inst-212-215827268,tooEasy,0.02
inst-212-484122292,solverTimeOut,0
inst-212-875407424,tooEasy,0.01
inst-214-1014571339,tooEasy,0.034
inst-214-1986116737,tooEasy,0.009
inst-214-215827268,solverTimeOut,0
inst-214-484122292,solverTimeOut,0
inst-214-875407424,solverTimeOut,0
inst-215-1014571339,solverTimeOut,0
inst-215-1986116737,tooEasy,0.005
inst-215-215827268,solverTimeOut,0
inst-215-484122292,tooEasy,0.006
inst-215-875407424,graded,25.194
inst-218-1014571339,tooEasy,0.026
inst-218-1986116737,tooEasy,0.005
inst-218-215827268,tooEasy,0.005
inst-218-484122292,tooEasy,0.006
inst-218-875407424,tooEasy,0.006
inst-226-1014571339,solverTimeOut,0
inst-226-1986116737,tooEasy,0.089
inst-226-215827268,tooEasy,0.196
inst-226-484122292,tooEasy,0.02
inst-226-875407424,solverTimeOut,0
inst-229-1014571339,graded,61.316
inst-229-1986116737,tooEasy,0.005
inst-229-215827268,graded,10.019
inst-229-484122292,solverTimeOut,0
inst-229-875407424,tooEasy,0.006
inst-231-1014571339,solverTimeOut,0
inst-231-1986116737,tooEasy,0.071
inst-231-215827268,solverTimeOut,0
inst-23-1242700005,tooEasy,0.036
inst-231-484122292,solverTimeOut,0
inst-23-1710883418,tooEasy,0.004
inst-231-875407424,solverTimeOut,0
inst-23-1986116737,tooEasy,0.064
inst-23-215827268,tooEasy,0.004
inst-23-484122292,tooEasy,0.008
inst-235-1014571339,tooEasy,0.005
inst-235-1986116737,tooEasy,0.025
inst-235-215827268,tooEasy,0.007
inst-235-484122292,tooEasy,0.004
inst-235-875407424,tooEasy,0.008
inst-23-715166324,tooEasy,0.042
inst-23-875407424,tooEasy,0.037
inst-241-1014571339,solverTimeOut,0
inst-241-1986116737,tooEasy,0.011
inst-241-215827268,solverTimeOut,0
inst-241-484122292,tooEasy,0.005
inst-241-875407424,tooEasy,0.007
inst-246-1014571339,tooEasy,0.009
inst-246-1986116737,tooEasy,0.005
inst-246-215827268,tooEasy,0.005
inst-246-484122292,tooEasy,0.03
inst-246-875407424,tooEasy,0.007
inst-247-1014571339,solverTimeOut,0
inst-247-1986116737,solverTimeOut,0
inst-247-215827268,tooEasy,0.008
inst-247-484122292,tooEasy,0.005
inst-247-875407424,tooEasy,0.007
inst-248-1014571339,graded,12.799
inst-248-1986116737,tooEasy,0.209
inst-248-215827268,solverTimeOut,0
inst-248-484122292,tooEasy,0.006
inst-248-875407424,tooEasy,0.008
inst-250-1014571339,tooEasy,0.017
inst-250-1986116737,tooEasy,0.041
inst-250-215827268,tooEasy,0.01
inst-250-484122292,tooEasy,0.03
inst-250-875407424,tooEasy,0.014
inst-251-1014571339,solverTimeOut,0
inst-251-1986116737,tooEasy,0.031
inst-251-215827268,solverTimeOut,0
inst-251-484122292,tooEasy,0.074
inst-251-875407424,solverTimeOut,0
inst-252-1014571339,tooEasy,0.004
inst-252-1986116737,tooEasy,0.062
inst-252-215827268,tooEasy,0.017
inst-252-484122292,tooEasy,0.006
inst-252-875407424,solverTimeOut,0
inst-253-1014571339,solverTimeOut,0
inst-253-1986116737,tooEasy,0.007
inst-253-2112075539,solverTimeOut,0
inst-253-215827268,solverTimeOut,0
inst-253-484122292,solverTimeOut,0
inst-254-1014571339,solverTimeOut,0
inst-254-1986116737,tooEasy,0.082
inst-254-2112075539,tooEasy,0.011
inst-254-215827268,tooEasy,0.122
inst-254-484122292,solverTimeOut,0
inst-258-1014571339,solverTimeOut,0
inst-258-1242700005,solverTimeOut,0
inst-258-1401207286,tooEasy,4.653
inst-258-1710883418,tooEasy,5.316
inst-258-19034017,tooEasy,2.402
inst-258-1927683781,graded,13.926
inst-258-1986116737,tooEasy,4.891
inst-258-2112075539,tooEasy,6.5
inst-258-215827268,solverTimeOut,0
inst-258-322757527,tooEasy,2.633
inst-258-484122292,graded,38.461
inst-258-715166324,solverTimeOut,0
inst-258-875407424,tooEasy,2.312
inst-260-1014571339,solverTimeOut,0
inst-260-1986116737,tooEasy,0.05
inst-260-2112075539,solverTimeOut,0
inst-260-215827268,solverTimeOut,0
inst-260-484122292,graded,702.472
inst-261-1014571339,graded,25.51
inst-261-1242700005,tooEasy,0.008
inst-261-1401207286,solverTimeOut,0
inst-261-1710883418,solverTimeOut,0
inst-261-19034017,solverTimeOut,0
inst-261-1927683781,tooEasy,0.133
inst-261-1986116737,tooEasy,0.263
inst-261-2112075539,tooEasy,2.573
inst-261-215827268,tooEasy,0.169
inst-261-484122292,tooEasy,0.89
inst-261-715166324,tooEasy,1.599
inst-261-875407424,tooEasy,0.29
inst-262-1014571339,tooEasy,0.03
inst-262-1986116737,tooEasy,0.006
inst-262-2112075539,tooEasy,0.036
inst-262-215827268,graded,264.011
inst-262-484122292,solverTimeOut,0
inst-264-1014571339,solverTimeOut,0
inst-264-1986116737,solverTimeOut,0
inst-264-2112075539,solverTimeOut,0
inst-264-215827268,tooEasy,0.081
inst-264-484122292,tooEasy,0.219
inst-265-1014571339,solverTimeOut,0
inst-265-1986116737,tooEasy,0.034
inst-265-2112075539,tooEasy,0.02
inst-265-215827268,tooEasy,0.032
inst-265-484122292,tooEasy,0.012
inst-267-1014571339,solverTimeOut,0
inst-267-1986116737,solverTimeOut,0
inst-267-2112075539,tooEasy,0.059
inst-267-215827268,tooEasy,0.028
inst-267-484122292,solverTimeOut,0
inst-268-1014571339,tooEasy,0.196
inst-268-1986116737,tooEasy,0.046
inst-268-2112075539,tooEasy,0.027
inst-268-215827268,tooEasy,0.024
inst-268-484122292,tooEasy,0.026
inst-270-1014571339,solverTimeOut,0
inst-270-1986116737,tooEasy,0.014
inst-270-2112075539,tooEasy,0.029
inst-270-215827268,tooEasy,0.1
inst-270-484122292,tooEasy,0.063
inst-271-1014571339,tooEasy,0.169
inst-271-1242700005,tooEasy,0.006
inst-271-1401207286,tooEasy,0.482
inst-271-1710883418,tooEasy,0.005
inst-271-19034017,tooEasy,0.014
inst-271-1986116737,tooEasy,0.052
inst-271-2112075539,tooEasy,0.026
inst-271-215827268,tooEasy,0.092
inst-271-484122292,tooEasy,0.069
inst-271-715166324,tooEasy,0.006
inst-271-875407424,tooEasy,0.006
inst-274-1014571339,solverTimeOut,0
