instance,status,meanSolverTime
inst-111-1242700005,graded,28.58
inst-113-875407424,graded,246.418
inst-117-1242700005,graded,783.77
inst-144-875407424,graded,21.902
inst-157-1242700005,graded,662.175
inst-160-875407424,graded,55.075
inst-193-1710883418,graded,58.315
inst-207-1710883418,graded,28.321
inst-209-1986116737,graded,59.363
inst-232-715166324,graded,161.836
inst-251-1710883418,graded,1004.595
inst-252-1242700005,graded,33.491
inst-258-2112075539,graded,1067.252
inst-279-1401207286,graded,128.592
inst-285-1401207286,graded,117.606
inst-285-1710883418,graded,172.609
inst-303-1014571339,graded,205.495
inst-303-1401207286,graded,13.277
inst-303-1927683781,graded,187.414
inst-303-1986116737,graded,11.169
inst-303-715166324,graded,24.726
inst-303-875407424,graded,24.554
inst-304-1710883418,graded,805.601
inst-304-2112075539,graded,820.499
inst-306-875407424,graded,679.651
inst-307-1401207286,graded,216.318
inst-31-1986116737,graded,152.912
inst-333-1401207286,graded,164.609
inst-333-2112075539,graded,101.964
inst-361-2112075539,graded,14.467
inst-370-322757527,graded,363.701
inst-373-19034017,graded,340.793
inst-373-322757527,graded,20.15
inst-396-2112075539,graded,15.685
inst-441-19034017,graded,72.153
inst-51-1986116737,graded,274.068
inst-52-484122292,graded,56.84
inst-63-215827268,graded,29.023
inst-63-484122292,graded,185.093
inst-72-1014571339,graded,61.119
inst-72-19034017,graded,23.335
inst-72-2112075539,graded,907.132
inst-72-322757527,graded,315.068
inst-72-715166324,graded,17.763
