instance,status,meanSolverTime,meanSRTime
inst-102-1014571339,graded,389.139,1.905
inst-110-484122292,graded,15.994,0.814
inst-116-215827268,graded,282.827,0.671
inst-121-484122292,graded,79.477,0.869
inst-157-1242700005,graded,257.085,1.443
inst-164-1242700005,graded,140.28,1.589
inst-164-1710883418,graded,78.131,2.116
inst-165-484122292,graded,51.619,0.704
inst-166-1014571339,graded,21.561,1.194
inst-172-215827268,graded,11.392,0.618
inst-172-875407424,graded,29.707,0.387
inst-185-484122292,graded,20.3,0.493
inst-188-1710883418,graded,20.458,1.213
inst-198-1710883418,graded,19.563,1.434
inst-205-215827268,graded,503.51,1.348
inst-208-1014571339,graded,946.854,0.918
inst-208-215827268,graded,686.68,1.471
inst-210-1242700005,graded,13.916,0.963
inst-210-484122292,graded,86.215,1.125
inst-230-215827268,graded,32.713,0.577
inst-233-1014571339,graded,48.233,0.915
inst-233-1242700005,graded,38.476,0.8
inst-233-1401207286,graded,28.349,0.792
inst-233-1822952153,graded,40.813,0.834
inst-233-19034017,graded,24.414,0.749
inst-233-1986116737,graded,14.204,0.78
inst-233-215827268,graded,16.337,0.811
inst-233-322757527,graded,13.692,0.412
inst-233-484122292,graded,29.381,1.131
inst-233-875407424,graded,16.071,0.458
inst-247-1014571339,graded,10.529,1.077
inst-248-215827268,graded,292.718,1.261
inst-257-1014571339,graded,16.336,0.322
inst-257-715166324,graded,42.168,0.567
inst-260-1986116737,graded,478.16,1.027
inst-28-715166324,graded,727.464,2.057
inst-292-1014571339,graded,85.646,0.722
inst-308-1242700005,graded,15.816,0.958
inst-309-484122292,graded,55.448,1.097
inst-316-1014571339,graded,96.113,0.675
inst-316-1242700005,graded,53.602,0.724
inst-316-1401207286,graded,10.626,1.346
inst-316-1710883418,graded,131.084,0.542
inst-316-1822952153,graded,56.67,3.837
inst-316-19034017,graded,19.523,0.688
inst-316-1986116737,graded,20.632,0.576
inst-316-2112075539,graded,260.672,1.121
inst-316-215827268,graded,33.564,0.556
inst-316-322757527,graded,60.574,0.675
inst-316-484122292,graded,15.727,0.791
inst-316-715166324,graded,19.207,0.67
inst-316-875407424,graded,32.637,0.855
inst-319-484122292,graded,1076.446,0.61
inst-344-1014571339,graded,11.184,0.645
inst-344-1242700005,graded,13.361,0.794
inst-344-1710883418,graded,19.213,0.895
inst-344-19034017,graded,68.51,1.072
inst-344-1986116737,graded,19.87,0.607
inst-344-2112075539,graded,27.475,1.235
inst-344-215827268,graded,113.061,0.606
inst-344-322757527,graded,13.459,0.849
inst-344-484122292,graded,25.288,0.369
inst-344-715166324,graded,12.364,0.486
inst-344-875407424,graded,31.025,1.025
inst-35-875407424,graded,39.331,1.962
inst-365-1986116737,graded,56.712,0.437
inst-377-1014571339,graded,960.628,0.745
inst-377-2112075539,graded,802.632,1.499
inst-377-715166324,graded,215.794,0.832
inst-384-715166324,graded,514.238,0.773
inst-392-1014571339,graded,31.287,0.653
inst-392-1242700005,graded,27.149,0.879
inst-392-1401207286,graded,12.531,0.539
inst-392-19034017,graded,351.755,1.138
inst-392-1986116737,graded,13.077,0.643
inst-392-2112075539,graded,89.877,1.58
inst-392-215827268,graded,494.36,0.493
inst-392-484122292,graded,27.611,0.604
inst-392-875407424,graded,32.217,0.748
inst-396-2112075539,graded,31.501,1.493
inst-399-875407424,graded,164.967,0.666
inst-401-1242700005,graded,13.693,0.69
inst-401-715166324,graded,14.106,0.624
inst-408-2112075539,graded,405.156,0.631
inst-412-1014571339,graded,169.46,0.78
inst-415-1014571339,graded,628.282,0.716
inst-415-1242700005,graded,139.4,0.727
inst-418-1014571339,graded,36.906,0.622
inst-418-715166324,graded,40.681,0.698
inst-426-715166324,graded,13.768,0.763
inst-429-715166324,graded,11.227,0.62
inst-440-1242700005,graded,31.958,0.622
inst-443-875407424,graded,14.208,0.547
inst-449-1014571339,graded,31.02,0.65
inst-449-1242700005,graded,28.517,0.554
inst-459-875407424,graded,19.665,0.63
inst-461-715166324,graded,26.692,0.651
inst-464-1242700005,graded,69.237,1.091
inst-467-1014571339,graded,20.665,0.833
inst-467-715166324,graded,67.145,0.589
inst-468-1242700005,graded,22.416,0.752
inst-468-1710883418,graded,15.587,0.532
inst-468-2112075539,graded,13.447,0.603
inst-468-875407424,graded,167.648,0.734
inst-476-1242700005,graded,321.489,1.352
inst-476-715166324,graded,13.578,2.088
inst-480-1242700005,graded,96.373,0.747
inst-480-715166324,graded,310.909,0.998
inst-490-1014571339,graded,419.786,0.933
inst-496-19034017,graded,16.516,1.258
inst-496-715166324,graded,21.609,0.665
inst-500-1014571339,graded,105.585,0.947
inst-500-19034017,graded,21.841,1.192
inst-500-715166324,graded,45.857,0.8
inst-501-1014571339,graded,14.143,1.102
inst-506-1986116737,graded,790.839,0.48
inst-507-1242700005,graded,53.41,0.791
inst-507-19034017,graded,403.105,1.083
inst-507-484122292,graded,304.753,0.693
inst-509-1014571339,graded,143.103,0.892
inst-509-1242700005,graded,13.286,0.869
inst-509-1401207286,graded,351.696,0.925
inst-509-1822952153,graded,606.53,2.767
inst-509-19034017,graded,637.832,1.223
inst-509-1927683781,graded,27.849,0.532
inst-509-1986116737,graded,157.213,0.69
inst-509-2112075539,graded,15.021,0.829
inst-509-215827268,graded,10.48,0.578
inst-509-484122292,graded,10.037,0.682
inst-509-715166324,graded,356.181,0.922
inst-511-1014571339,graded,10.98,0.589
inst-511-19034017,graded,41.099,1.082
inst-511-484122292,graded,10.143,0.655
inst-511-875407424,graded,19.51,0.96
inst-513-1014571339,graded,873.392,0.794
inst-516-1242700005,graded,18.729,0.566
inst-516-19034017,graded,37.905,1.225
inst-516-715166324,graded,18.386,0.796
inst-516-875407424,graded,12.096,0.361
inst-517-1014571339,graded,192.397,0.859
inst-517-1242700005,graded,19.482,0.808
inst-518-1014571339,graded,700.056,0.869
inst-518-19034017,graded,500.896,1.21
inst-518-1986116737,graded,406.112,0.916
inst-518-2112075539,graded,44.595,0.807
inst-518-484122292,graded,999.267,0.884
inst-518-715166324,graded,146.38,0.904
inst-519-715166324,graded,11.482,0.839
inst-520-1242700005,graded,17.967,0.865
inst-523-715166324,graded,19.552,0.734
inst-527-1242700005,graded,72.306,0.797
inst-528-1986116737,graded,18.141,0.606
inst-529-1014571339,graded,17.686,0.643
inst-529-1242700005,graded,17.674,0.933
inst-529-484122292,graded,12.444,0.539
inst-529-715166324,graded,12.751,0.843
inst-529-875407424,graded,14.535,1.089
inst-533-1986116737,graded,1084.203,0.967
inst-537-1014571339,graded,185.325,0.83
inst-537-19034017,graded,530.513,0.448
inst-538-1242700005,graded,995.883,0.739
inst-538-19034017,graded,48.108,0.411
inst-538-715166324,graded,32.429,0.514
inst-541-1986116737,graded,330.66,0.724
inst-546-19034017,graded,17.027,0.502
inst-546-715166324,graded,16.937,0.712
inst-549-1014571339,graded,32.411,0.374
inst-549-1242700005,graded,19.135,0.443
inst-549-1401207286,graded,142.331,0.794
inst-549-19034017,graded,76.854,0.88
inst-549-2112075539,graded,14.374,0.304
inst-549-322757527,graded,11.836,0.413
inst-549-484122292,graded,12.552,0.584
inst-549-715166324,graded,58.416,0.977
inst-549-875407424,graded,22.111,0.701
inst-550-1014571339,graded,79.325,0.739
inst-550-19034017,graded,22.31,0.552
inst-554-1986116737,graded,25.131,0.613
inst-562-1986116737,graded,315.608,0.991
inst-571-19034017,graded,51.793,0.952
inst-572-1242700005,graded,22.375,0.916
inst-580-1242700005,graded,453.674,0.748
inst-580-19034017,graded,1160.02,1.246
inst-580-1986116737,graded,114.197,0.696
inst-582-1014571339,graded,236.437,0.693
